"Story","Title","Result","Date","Stability","Duration (s)"
"Booking test","Update the booking and verify","ERROR","2022-01-11T23:24:56.659Z[Europe/London]","0.0","0.99"
"Booking test","Delete the newly created record with ID","ERROR","2022-01-11T23:24:57.781Z[Europe/London]","0.0","0.08"
